ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
179,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3
180,3,5,5,3,1,1,3,5,4,2,N/A,3,N/A,4,5,3,3,N/A,3,5
181,N/A,4,N/A,3,5,N/A,5,4,N/A,N/A,4,5,N/A,5,N/A,4,N/A,N/A,N/A,N/A
182,5,N/A,N/A,4,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,5,3,5,N/A,N/A,N/A,N/A
186,N/A,4,5,N/A,3,N/A,4,5,N/A,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A
190,N/A,5,5,N/A,5,N/A,3,3,N/A,N/A,N/A,3,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
191,4,N/A,5,N/A,5,N/A,5,5,N/A,4,4,5,5,5,5,4,5,N/A,5,N/A
193,4,2,5,N/A,N/A,N/A,2,3,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
196,1,5,2,4,3,N/A,5,2,5,N/A,3,5,N/A,N/A,1,1,1,1,5,5
197,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
198,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
199,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
201,4,5,5,N/A,4,N/A,5,5,4,N/A,5,N/A,N/A,4,5,5,N/A,3,N/A,4
202,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,5,3,3,3,3
203,N/A,N/A,N/A,4,4,N/A,4,N/A,N/A,N/A,3,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A
204,5,3,4,N/A,2,N/A,4,5,N/A,N/A,3,4,1,N/A,2,3,N/A,N/A,N/A,N/A
205,5,4,5,1,1,N/A,4,4,N/A,N/A,3,4,1,N/A,2,N/A,N/A,N/A,N/A,N/A
216,N/A,5,N/A,5,5,5,5,N/A,3,N/A,4,4,N/A,5,3,5,5,4,N/A,N/A
206,5,4,5,3,4,3,3,5,3,2,3,2,2,3,4,4,4,3,4,4
207,2,5,5,N/A,4,N/A,5,5,N/A,N/A,4,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A
208,N/A,4,N/A,N/A,4,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
209,3,4,5,2,5,4,5,5,4,4,5,4,3,3,5,5,3,2,3,2
210,4,N/A,4,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,N/A
211,N/A,N/A,5,N/A,3,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
212,N/A,5,4,N/A,4,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,2,5,N/A,N/A,N/A,N/A
213,N/A,N/A,4,5,5,5,4,2,N/A,N/A,5,N/A,N/A,3,2,N/A,5,N/A,2,N/A
214,3,3,4,3,5,3,5,4,3,3,5,4,2,2,2,4,3,N/A,N/A,N/A
215,N/A,5,N/A,N/A,N/A,N/A,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
217,N/A,N/A,4,N/A,4,N/A,5,N/A,N/A,N/A,4,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
218,5,N/A,5,4,5,4,4,4,3,3,3,3,3,5,5,5,5,5,5,5
219,N/A,4,N/A,N/A,3,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A
220,N/A,N/A,4,4,5,N/A,5,4,N/A,N/A,4,N/A,N/A,N/A,3,4,4,N/A,N/A,N/A
221,N/A,5,4,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,N/A,2,5,N/A,N/A,N/A,N/A
222,4,N/A,4,N/A,N/A,N/A,4,5,N/A,N/A,4,N/A,N/A,5,5,4,5,N/A,N/A,4
225,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A
226,4,5,5,N/A,3,5,5,3,N/A,N/A,2,N/A,4,N/A,2,3,N/A,N/A,N/A,N/A
227,N/A,N/A,4,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,3,N/A,2,3,2,N/A,N/A,N/A
228,4,5,5,4,5,3,5,5,4,4,5,N/A,3,2,4,2,2,2,4,3
229,N/A,5,N/A,N/A,3,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
232,4,4,2,N/A,3,N/A,5,4,4,N/A,4,5,N/A,5,2,5,3,N/A,N/A,N/A
230,4,4,5,2,3,2,5,5,3,3,4,3,3,3,4,4,3,3,3,3
231,N/A,N/A,N/A,N/A,4,N/A,5,4,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
233,N/A,N/A,5,5,5,N/A,4,4,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,5
239,N/A,5,5,N/A,3,N/A,4,3,4,N/A,4,5,N/A,2,N/A,3,N/A,N/A,N/A,N/A
240,N/A,2,5,N/A,N/A,N/A,2,2,3,N/A,2,4,N/A,5,2,4,N/A,N/A,N/A,N/A
241,2,4,4,N/A,4,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242,N/A,4,5,N/A,N/A,N/A,3,3,N/A,N/A,4,5,N/A,N/A,3,4,N/A,N/A,N/A,N/A
243,3,3,4,N/A,5,4,N/A,3,N/A,3,4,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A
247,N/A,5,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,4,4
249,N/A,5,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
254,4,5,5,3,4,N/A,4,3,N/A,N/A,5,N/A,3,N/A,2,N/A,N/A,N/A,N/A,N/A
258,N/A,N/A,N/A,N/A,4,N/A,5,4,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
259,4,3,5,2,3,4,3,5,2,3,5,3,4,3,2,N/A,4,3,1,4
260,5,5,5,3,4,5,3,4,3,N/A,4,5,3,4,2,5,4,3,N/A,N/A
261,5,5,5,3,4,5,2,4,3,3,4,5,3,4,2,5,3,3,N/A,N/A
263,N/A,N/A,N/A,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
264,2,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
265,N/A,N/A,4,N/A,N/A,4,N/A,1,2,N/A,2,3,4,N/A,5,3,5,5,N/A,N/A
266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
267,5,N/A,5,N/A,5,N/A,4,5,N/A,N/A,4,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A
268,N/A,4,4,N/A,4,N/A,5,N/A,1,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
269,4,3,4,3,4,2,5,5,1,N/A,N/A,4,3,5,4,5,3,5,4,4
270,5,N/A,4,N/A,1,N/A,N/A,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
271,N/A,N/A,4,N/A,3,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
272,4,4,5,4,4,5,4,2,4,4,3,4,4,3,5,4,2,4,5,N/A
274,N/A,N/A,4,N/A,5,N/A,3,5,N/A,N/A,4,N/A,3,5,2,4,N/A,N/A,N/A,N/A
275,N/A,5,5,N/A,5,N/A,5,4,N/A,N/A,3,5,N/A,N/A,4,3,N/A,N/A,N/A,N/A
284,N/A,N/A,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
283,N/A,3,3,4,5,N/A,3,4,3,3,3,4,4,5,N/A,N/A,N/A,5,5,5
285,3,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
286,3,5,5,4,5,N/A,4,4,N/A,4,5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
287,5,5,5,3,5,5,5,4,N/A,4,5,N/A,4,5,2,5,N/A,5,N/A,N/A
288,N/A,3,2,N/A,5,5,5,5,N/A,N/A,N/A,N/A,N/A,4,5,N/A,5,3,N/A,N/A
289,N/A,5,5,N/A,3,N/A,3,3,4,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
291,4,4,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,4,N/A,5,4,4,N/A,N/A,N/A,N/A
